Brand,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
Microsoft,i9-12900H,16GB,512GB SSD,Integrated,14.0,FHD,1.9,Windows 10,Notebook,5.2,No,120000
HP,i3-1115G4,8GB,1TB SSD,MX550 2GB,13.3,FHD,1.8,macOS,Ultrabook,7.1,No,49000
Lenovo,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,14.0,HD,1.9,Windows 11,Ultrabook,6.7,No,79000
ASUS,i7-1255U,16GB,512GB SSD,Integrated,14.0,FHD,1.7,Windows 10,Ultrabook,7.8,No,79000
Apple,Apple M2 Pro,16GB,512GB SSD,Integrated,17.3,Retina,2.6,macOS,Gaming Series,14.7,No,158000
MSI,i3-1215U,4GB,512GB HDD,Integrated,13.3,HD,1.1,DOS,Netbook,6.3,Yes,41000
Dell,Ryzen 5 5600H,16GB,256GB SSD,Integrated,14.0,FHD,1.7,Windows 11,Notebook,7.9,No,65000
Microsoft,Ryzen 3 3250U,4GB,512GB HDD,Integrated,11.6,HD,0.9,Linux,Netbook,8.0,No,49000
Microsoft,Ryzen 3 3250U,8GB,1TB SSD,Integrated,13.3,FHD,1.4,Windows 11,Ultrabook,9.8,No,76000
ASUS,Ryzen 5 5600H,16GB,512GB SSD,Integrated,15.6,FHD,2.1,Windows 10,Business Series,8.3,No,67000
Acer,Ryzen 3 3250U,8GB,256GB HDD,Integrated,13.3,HD,1.0,Windows 11,Netbook,9.9,No,25000
Dell,i3-1115G4,8GB,256GB SSD,Integrated,15.6,QHD,1.9,Windows 10,Notebook,6.7,No,49000
Microsoft,i9-12900H,8GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.3,Linux,Ultrabook,5.2,No,115000
Realme,Ryzen 5 5600H,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.8,macOS,Business Series,8.9,No,50000
Acer,i7-12700H,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.1,Windows 11,Ultrabook,5.0,No,85000
Realme,Ryzen 5 5600H,16GB,512GB SSD,Integrated,14.0,HD,1.7,Windows 10,Ultrabook,7.9,No,49000
HP,i7-11800H,4GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.5,Windows 10,Ultrabook,6.0,No,74000
MSI,Ryzen 5 5500U,16GB,512GB SSD,Integrated,14.0,FHD,1.9,Linux,Notebook,9.3,Yes,79000
Dell,Ryzen 9 5900HX,8GB,1TB SSD,Integrated,15.6,FHD,1.9,Windows 11,Notebook,9.2,No,70000
MSI,i3-1215U,4GB,256GB HDD,Integrated,13.3,HD,1.2,Windows 11,Netbook,7.0,No,42000
HP,i9-12900H,8GB,512GB SSD,RTX 3070 8GB,17.3,FHD,2.5,Windows 11,Gaming Series,5.9,No,114000
ASUS,Ryzen 5 5600H,8GB,256GB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,8.5,No,50000
Dell,i9-12900H,4GB,256GB SSD,MX550 2GB,14.0,FHD,2.2,Windows 11,Notebook,7.8,No,80000
Acer,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.0,Linux,Notebook,5.2,No,71000
Apple,Apple M1 Pro,16GB,1TB SSD,Integrated,17.3,Retina,2.5,macOS,Gaming Series,14.4,No,140000
HP,Ryzen 7 5800H,64GB,1TB SSD,RTX 3050 4GB,15.6,FHD,2.2,Windows 11,Gaming Series,5.1,No,174000
ASUS,Ryzen 3 3250U,8GB,256GB HDD,Integrated,13.3,HD,0.9,Linux,Netbook,6.6,Yes,28000
Microsoft,i3-1215U,16GB,1TB SSD,Integrated,15.6,FHD,2.0,Linux,Notebook,8.9,No,81000
Dell,Ryzen 5 5500U,8GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.5,Linux,Ultrabook,8.2,No,66000
Samsung,i3-1115G4,4GB,1TB SSD,MX550 2GB,13.3,HD,1.1,Linux,Ultrabook,9.9,No,57000
Microsoft,i7-1255U,8GB,256GB SSD,Integrated,15.6,FHD,1.6,Linux,Notebook,6.7,No,82000
Avita,Ryzen 5 5500U,8GB,2TB SSD,GTX 1650 4GB,14.0,FHD,1.9,Windows 10,Business Series,5.9,No,76000
Microsoft,i5-1235U,16GB,1TB SSD,Integrated,14.0,FHD,2.2,Windows 11,Notebook,5.5,No,105000
Realme,Ryzen 9 5900HS,16GB,512GB SSD,GTX 1650 4GB,17.3,FHD,2.0,Windows 11,Gaming Series,4.0,No,89000
Apple,Apple M2 Pro,4GB,256GB HDD,Integrated,11.6,Retina,1.3,macOS,Netbook,13.9,No,36280
HP,i5-1235U,4GB,512GB SSD,MX550 2GB,14.0,FHD,2.1,macOS,Notebook,6.8,No,51000
Avita,i7-12700H,16GB,2TB SSD,MX550 2GB,15.6,QHD,2.0,Windows 10,Business Series,8.0,No,102000
Realme,Ryzen 3 3250U,32GB,2TB SSD,MX550 2GB,14.0,FHD,1.9,Linux,Business Series,7.6,No,110000
Infinix,i3-1215U,4GB,256GB SSD,Integrated,11.6,HD,0.9,Windows 11,Netbook,7.8,No,10000
MSI,i3-1215U,4GB,256GB SSD,MX550 2GB,13.3,HD,1.3,Linux,Netbook,6.0,No,28766
Infinix,Ryzen 7 5800H,16GB,256GB SSD,Integrated,15.6,FHD,2.2,Windows 11,Notebook,7.9,No,54000
Realme,Ryzen 5 5500U,8GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.3,Windows 11,Ultrabook,5.2,No,62000
Acer,i3-1115G4,8GB,512GB HDD,MX550 2GB,13.3,HD,1.2,macOS,Netbook,7.3,No,31000
ASUS,i5-11400H,16GB,256GB SSD,MX550 2GB,14.0,4K,1.7,Windows 11,Notebook,9.0,Yes,85000
Infinix,i9-12900H,8GB,1TB SSD,MX550 2GB,15.6,HD,1.7,Windows 11,Notebook,9.2,Yes,84000
Lenovo,Ryzen 9 5900HS,32GB,512GB SSD,RTX 3070 8GB,17.3,QHD,2.4,Windows 10,Gaming Series,4.8,No,145000
Lenovo,Ryzen 7 5800H,16GB,512GB SSD,RTX 4060 8GB,16.0,FHD,2.2,Windows 10,Gaming Series,5.9,No,109000
Lenovo,Ryzen 7 5700U,16GB,1TB SSD,Integrated,15.6,FHD,2.1,Linux,Notebook,5.8,No,68000
Acer,i5-1135G7,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.0,macOS,Notebook,7.6,No,72000
Lenovo,Ryzen 5 5600H,16GB,256GB SSD,Integrated,14.0,QHD,2.1,Windows 11,Notebook,8.0,No,66000
MSI,i7-11800H,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.7,Linux,Notebook,5.3,Yes,98000
Lenovo,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,15.6,HD,1.7,Linux,Notebook,5.8,No,75000
Infinix,i7-1255U,8GB,256GB SSD,Integrated,14.0,HD,1.3,Windows 11,Ultrabook,8.7,No,50000
ASUS,i5-1135G7,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.4,Windows 10,Ultrabook,9.2,No,55000
MSI,i3-1215U,8GB,1TB SSD,GTX 1650 4GB,14.0,QHD,2.0,Linux,Ultrabook,8.2,No,94000
Realme,Ryzen 5 5600H,16GB,256GB SSD,Integrated,14.0,HD,2.0,Linux,Notebook,8.1,No,45000
Lenovo,Ryzen 3 3250U,4GB,256GB HDD,Integrated,13.3,HD,1.2,Windows 10,Netbook,8.4,No,20000
Samsung,Ryzen 3 3250U,4GB,512GB HDD,Integrated,13.3,HD,1.0,Windows 11,Netbook,9.0,No,30000
MSI,Ryzen 9 5900HX,8GB,256GB SSD,Integrated,14.0,FHD,1.8,Windows 10,Notebook,5.5,No,92000
Realme,i7-11800H,16GB,2TB SSD,GTX 1650 4GB,14.0,FHD,1.8,macOS,Business Series,6.0,No,110000
Lenovo,i7-12700H,16GB,1TB SSD,MX550 2GB,14.0,HD,2.0,macOS,Notebook,5.7,No,89000
Lenovo,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,HD,0.9,DOS,Netbook,7.0,No,27000
HP,Ryzen 5 5500U,16GB,512GB SSD,Integrated,15.6,FHD,1.9,Linux,Notebook,6.1,No,57000
MSI,i3-1115G4,8GB,256GB SSD,Integrated,14.0,QHD,1.5,Windows 10,Notebook,9.0,No,74000
Acer,Ryzen 9 5900HX,16GB,1TB SSD,RTX 3060 6GB,17.3,QHD,2.6,Windows 10,Gaming Series,4.5,No,114000
Microsoft,i7-12700H,16GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Notebook,5.1,Yes,116000
Infinix,i7-12700H,8GB,512GB SSD,Integrated,14.0,FHD,1.8,Windows 11,Ultrabook,9.2,No,50000
Infinix,i7-12700H,16GB,1TB SSD,GTX 1650 4GB,17.3,4K,2.7,Windows 11,Gaming Series,5.6,No,122000
Avita,i9-12900H,16GB,512GB SSD,Integrated,15.6,QHD,1.7,macOS,Notebook,9.2,No,85000
Avita,i7-12700H,16GB,1TB SSD,Integrated,14.0,HD,1.5,Linux,Notebook,5.8,No,65000
Dell,Ryzen 9 5900HX,16GB,1TB SSD,RTX 3060 6GB,15.6,FHD,2.0,macOS,Gaming Series,4.9,No,106000
Avita,i5-11400H,4GB,512GB SSD,MX550 2GB,14.0,FHD,1.8,Linux,Notebook,5.3,No,40000
Dell,i7-12700H,16GB,2TB SSD,RTX 3070 8GB,17.3,FHD,2.3,Windows 10,Gaming Series,4.4,Yes,152000
Dell,Ryzen 3 3250U,4GB,256GB HDD,Integrated,11.6,HD,1.0,DOS,Netbook,9.3,No,24000
Apple,Apple M2 Pro,16GB,256GB SSD,Integrated,14.0,Retina,1.9,macOS,Notebook,16.2,No,152000
Avita,Ryzen 7 5700U,16GB,1TB SSD,MX550 2GB,14.0,HD,1.1,Windows 11,Ultrabook,5.3,No,69000
Apple,Apple M1 Pro,8GB,1TB SSD,Integrated,14.0,Retina,1.6,macOS,Notebook,14.6,No,135000
Microsoft,i5-1235U,16GB,1TB SSD,Integrated,15.6,QHD,1.9,Linux,Notebook,6.9,No,100000
Dell,i3-1215U,16GB,512GB SSD,Integrated,14.0,FHD,2.1,macOS,Notebook,9.4,No,54000
Dell,Ryzen 5 5600H,8GB,512GB SSD,Integrated,13.3,FHD,1.8,Linux,Ultrabook,7.3,No,50000
Avita,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.1,Linux,Netbook,8.6,No,16000
Dell,i5-12500H,16GB,2TB SSD,GTX 1650 4GB,16.0,FHD,2.6,macOS,Gaming Series,4.3,No,102000
Infinix,i5-12500H,16GB,2TB SSD,MX550 2GB,14.0,FHD,2.2,Linux,Business Series,9.0,No,82000
Acer,Ryzen 3 3250U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.4,Linux,Ultrabook,9.4,Yes,66000
Apple,Apple M1 Pro,8GB,256GB HDD,Integrated,11.6,Retina,0.9,macOS,Netbook,12.7,No,29249
Acer,i5-11400H,4GB,512GB SSD,Integrated,15.6,FHD,1.7,Windows 10,Notebook,5.1,No,49000
Infinix,i3-1215U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.3,Linux,Netbook,7.3,No,13000
ASUS,i7-11800H,16GB,256GB SSD,GTX 1650 4GB,13.3,QHD,1.3,Windows 10,Ultrabook,5.3,No,105000
Samsung,Ryzen 9 5900HX,16GB,512GB SSD,Integrated,15.6,QHD,2.0,Windows 11,Notebook,5.2,No,88000
Avita,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,HD,1.2,Windows 10,Netbook,6.3,No,14000
MSI,Ryzen 7 5700U,8GB,512GB SSD,Integrated,14.0,FHD,1.6,Windows 11,Ultrabook,6.0,No,72000
Infinix,Ryzen 9 5900HS,32GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.5,macOS,Gaming Series,5.0,No,156000
Dell,Ryzen 3 3250U,4GB,512GB HDD,Integrated,11.6,FHD,1.2,DOS,Netbook,8.0,No,21000
Avita,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.2,Windows 11,Netbook,8.5,No,9000
Samsung,i7-12700H,32GB,2TB SSD,RTX 4050 6GB,16.0,QHD,2.1,Windows 11,Gaming Series,5.6,No,178000
Lenovo,i5-12500H,16GB,2TB SSD,RTX 4060 8GB,16.0,QHD,2.5,Windows 10,Gaming Series,5.7,No,147000
Avita,Ryzen 3 3250U,8GB,512GB HDD,Integrated,11.6,FHD,1.3,DOS,Netbook,10.0,No,17000
Dell,Ryzen 9 5900HS,32GB,1TB SSD,RTX 3050 4GB,17.3,QHD,2.2,Windows 10,Gaming Series,5.0,No,131000
MSI,Ryzen 7 5800H,32GB,512GB SSD,GTX 1650 4GB,16.0,QHD,2.3,Windows 11,Gaming Series,5.2,No,135000
Apple,Apple M2 Pro,4GB,256GB HDD,Integrated,11.6,Retina,1.2,macOS,Netbook,14.4,No,20857
Infinix,Ryzen 3 3250U,8GB,512GB HDD,MX550 2GB,11.6,FHD,1.0,Windows 11,Netbook,8.1,No,20000
Lenovo,i5-1135G7,4GB,256GB SSD,Integrated,15.6,FHD,1.9,Windows 11,Notebook,9.6,No,44000
Realme,i7-12700H,4GB,512GB SSD,Integrated,15.6,FHD,1.6,Windows 10,Notebook,7.6,No,52000
Dell,i7-12700H,32GB,512GB SSD,GTX 1650 4GB,16.0,QHD,2.3,macOS,Gaming Series,4.1,No,134000
ASUS,i5-12500H,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,1.9,macOS,Business Series,6.0,No,92000
HP,i9-12900H,32GB,1TB SSD,RTX 3070 8GB,17.3,FHD,2.0,Windows 10,Gaming Series,5.7,No,182000
Microsoft,i3-1115G4,8GB,1TB SSD,Integrated,14.0,FHD,1.2,Linux,Ultrabook,10.0,No,70000
Infinix,Ryzen 9 5900HS,8GB,256GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Notebook,6.0,No,53000
Infinix,i7-12700H,8GB,1TB SSD,RTX 3050 4GB,15.6,FHD,2.3,Windows 11,Gaming Series,3.5,No,77000
Avita,Ryzen 9 5900HX,16GB,1TB SSD,MX550 2GB,13.3,QHD,1.5,Linux,Ultrabook,8.8,No,90000
Dell,Ryzen 9 5900HX,16GB,2TB SSD,RTX 3070 8GB,16.0,FHD,2.7,Windows 11,Gaming Series,3.6,No,135000
Infinix,Ryzen 5 5500U,8GB,256GB SSD,Integrated,14.0,FHD,1.8,macOS,Notebook,9.9,No,31000
Realme,Ryzen 9 5900HS,16GB,256GB SSD,MX550 2GB,14.0,QHD,1.7,Windows 10,Notebook,6.6,No,76000
Dell,Ryzen 5 5600H,8GB,1TB SSD,MX550 2GB,15.6,FHD,1.6,Linux,Notebook,9.4,Yes,66000
Avita,i9-12900H,4GB,512GB SSD,Integrated,14.0,FHD,2.2,Windows 11,Notebook,6.0,No,68000
HP,Ryzen 9 5900HX,8GB,1TB SSD,GTX 1650 4GB,14.0,HD,1.2,Windows 10,Ultrabook,8.5,No,90000
Realme,i7-12700H,16GB,256GB SSD,Integrated,15.6,FHD,2.0,macOS,Notebook,9.4,No,61000
Dell,i5-1135G7,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.7,macOS,Notebook,7.8,No,74000
HP,i5-1235U,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.5,macOS,Notebook,6.0,Yes,68000
Dell,i7-11800H,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.0,Windows 11,Notebook,5.8,No,77000
HP,Ryzen 9 5900HS,32GB,2TB SSD,RTX 3070 8GB,17.3,FHD,2.5,Windows 11,Gaming Series,5.0,No,152000
Realme,Ryzen 9 5900HS,32GB,1TB SSD,GTX 1650 4GB,17.3,FHD,2.2,Windows 10,Gaming Series,4.5,No,125000
Realme,i3-1215U,16GB,1TB SSD,Integrated,14.0,FHD,2.0,Windows 11,Notebook,6.2,No,58000
Samsung,i7-1255U,16GB,256GB SSD,GTX 1650 4GB,14.0,HD,1.7,Linux,Ultrabook,6.5,No,93000
Dell,Ryzen 5 5500U,16GB,512GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Notebook,9.1,No,67000
Dell,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.1,Linux,Netbook,6.9,No,27000
Infinix,i5-1135G7,8GB,256GB SSD,Integrated,14.0,HD,1.7,Windows 10,Ultrabook,7.1,No,41000
Infinix,Ryzen 7 5800H,32GB,1TB SSD,RTX 4050 6GB,17.3,FHD,2.5,Linux,Gaming Series,4.0,No,115000
ASUS,Ryzen 7 5700U,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.0,macOS,Ultrabook,7.3,No,68000
ASUS,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3060 6GB,17.3,FHD,2.6,Windows 11,Gaming Series,3.7,No,131000
ASUS,Ryzen 5 5600H,8GB,1TB SSD,MX550 2GB,13.3,QHD,1.9,macOS,Ultrabook,5.0,No,67000
HP,i7-12700H,32GB,1TB SSD,MX550 2GB,13.3,HD,2.0,macOS,Ultrabook,6.2,No,120000
Microsoft,Ryzen 7 5700U,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.8,Windows 11,Notebook,5.8,No,93000
Microsoft,i5-12500H,16GB,1TB SSD,RTX 4060 8GB,16.0,QHD,2.5,macOS,Gaming Series,5.5,No,165000
Infinix,Ryzen 9 5900HS,32GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.6,Windows 11,Gaming Series,5.1,Yes,138000
MSI,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.4,DOS,Netbook,6.1,No,39144
Dell,i3-1215U,8GB,256GB SSD,Integrated,15.6,FHD,1.7,Windows 11,Notebook,9.3,No,41000
Avita,i3-1215U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.1,Windows 11,Ultrabook,6.1,Yes,45000
HP,i7-1255U,32GB,2TB SSD,Integrated,15.6,FHD,1.8,macOS,Business Series,7.5,Yes,114000
Infinix,Ryzen 3 3250U,4GB,256GB SSD,MX550 2GB,11.6,HD,1.3,Windows 10,Netbook,9.6,No,16000
Microsoft,Ryzen 7 5800H,8GB,512GB SSD,MX550 2GB,14.0,FHD,2.2,Windows 10,Notebook,9.6,No,89000
Infinix,Ryzen 5 5600H,8GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.1,Windows 11,Ultrabook,5.8,No,43000
Infinix,i9-12900H,4GB,512GB SSD,Integrated,14.0,FHD,1.6,Windows 11,Notebook,8.3,No,59000
MSI,Ryzen 5 5500U,8GB,256GB SSD,MX550 2GB,13.3,QHD,1.4,Windows 11,Ultrabook,5.8,No,76000
Microsoft,i3-1215U,4GB,256GB HDD,MX550 2GB,13.3,HD,1.4,macOS,Netbook,8.5,No,21954
MSI,i5-12500H,16GB,512GB SSD,RTX 4050 6GB,16.0,FHD,2.7,Windows 11,Gaming Series,4.7,No,138000
Apple,Apple M1,8GB,512GB SSD,Integrated,13.3,Retina,1.8,macOS,Ultrabook,12.7,No,94000
Microsoft,i3-1115G4,4GB,512GB HDD,Integrated,13.3,FHD,1.1,macOS,Netbook,9.0,No,46000
Realme,i7-1255U,16GB,1TB SSD,Integrated,14.0,HD,2.3,Windows 11,Notebook,6.3,No,72000
MSI,i9-12900H,64GB,1TB SSD,RTX 4050 6GB,15.6,FHD,2.1,macOS,Gaming Series,3.4,No,209000
Acer,i5-12500H,32GB,1TB SSD,RTX 3060 6GB,16.0,QHD,2.5,Windows 10,Gaming Series,3.2,No,130000
Infinix,i7-1255U,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.3,Windows 11,Ultrabook,6.9,No,57000
Samsung,i5-11400H,16GB,256GB SSD,Integrated,15.6,FHD,1.8,Linux,Notebook,8.7,No,73000
Dell,Ryzen 7 5800H,8GB,512GB SSD,RTX 3050 4GB,15.6,QHD,2.6,Linux,Gaming Series,3.8,No,80000
Samsung,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,11.6,HD,1.0,DOS,Netbook,6.4,No,32000
Microsoft,Ryzen 5 5600H,32GB,1TB SSD,Integrated,14.0,FHD,2.0,macOS,Business Series,9.1,No,119000
Infinix,Ryzen 9 5900HS,16GB,2TB SSD,Integrated,15.6,QHD,2.3,macOS,Business Series,7.0,No,104000
Apple,Apple M1,16GB,1TB SSD,Integrated,16.0,Retina,2.5,macOS,Gaming Series,16.3,No,118000
Avita,Ryzen 5 5500U,16GB,1TB SSD,Integrated,14.0,FHD,1.7,Linux,Business Series,5.9,No,69000
Acer,Ryzen 7 5800H,32GB,512GB SSD,RTX 3050 4GB,16.0,4K,2.4,Linux,Gaming Series,4.3,No,125000
Apple,Apple M1 Pro,16GB,512GB SSD,Integrated,14.0,Retina,2.1,macOS,Business Series,12.1,No,139000
Apple,Apple M2 Pro,16GB,512GB SSD,Integrated,15.6,Retina,2.6,macOS,Gaming Series,17.3,No,156000
ASUS,Ryzen 9 5900HS,16GB,256GB SSD,Integrated,14.0,4K,1.9,macOS,Notebook,9.0,No,99000
Apple,Apple M1 Pro,4GB,256GB SSD,Integrated,13.3,Retina,1.4,macOS,Ultrabook,17.1,No,103000
Realme,Ryzen 3 3250U,4GB,512GB HDD,Integrated,13.3,HD,1.3,Windows 10,Netbook,7.0,No,12000
Realme,Ryzen 9 5900HX,8GB,1TB SSD,MX550 2GB,13.3,FHD,1.4,macOS,Ultrabook,5.2,No,73000
MSI,Ryzen 9 5900HS,16GB,256GB SSD,GTX 1650 4GB,13.3,4K,1.8,Linux,Ultrabook,5.5,No,123000
Apple,Apple M1 Pro,16GB,1TB SSD,Integrated,15.6,Retina,2.2,macOS,Business Series,13.2,No,143000
Dell,Ryzen 9 5900HX,16GB,256GB SSD,MX550 2GB,15.6,HD,1.8,macOS,Notebook,6.1,No,80000
Samsung,Ryzen 7 5700U,8GB,2TB SSD,GTX 1650 4GB,14.0,QHD,2.2,Windows 10,Business Series,7.4,No,100000
MSI,i7-12700H,16GB,1TB SSD,Integrated,13.3,FHD,1.7,Windows 10,Ultrabook,9.7,No,101000
HP,Ryzen 7 5700U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.4,Windows 11,Ultrabook,8.1,No,88000
Microsoft,Ryzen 9 5900HX,32GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.5,Windows 10,Gaming Series,4.2,No,201000
Acer,i5-1235U,32GB,512GB SSD,GTX 1650 4GB,14.0,FHD,2.1,Linux,Business Series,6.9,No,111000
ASUS,Ryzen 7 5800H,16GB,1TB SSD,Integrated,15.6,FHD,1.8,Windows 10,Notebook,5.3,No,82000
Samsung,i5-11400H,4GB,256GB SSD,MX550 2GB,15.6,FHD,1.5,Linux,Notebook,6.2,No,63000
MSI,i5-11400H,8GB,1TB SSD,Integrated,15.6,4K,1.6,Windows 11,Notebook,9.8,Yes,107000
Realme,Ryzen 9 5900HX,32GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.4,Windows 11,Ultrabook,6.9,No,92000
HP,i5-1135G7,32GB,1TB SSD,Integrated,14.0,HD,1.7,Linux,Notebook,6.0,No,91000
Samsung,i5-12500H,16GB,1TB SSD,Integrated,15.6,FHD,1.6,Windows 11,Notebook,6.0,No,73000
Samsung,i3-1115G4,4GB,256GB SSD,Integrated,13.3,HD,1.4,macOS,Netbook,6.5,No,33000
Infinix,i3-1215U,16GB,512GB SSD,Integrated,14.0,FHD,2.3,Windows 11,Notebook,7.1,No,39000
ASUS,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.6,Windows 11,Notebook,6.9,No,65000
ASUS,i5-12500H,8GB,1TB SSD,Integrated,14.0,QHD,1.1,Windows 11,Ultrabook,7.5,No,64000
ASUS,i7-1255U,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.6,Linux,Ultrabook,7.6,No,87000
Samsung,Ryzen 9 5900HX,8GB,512GB SSD,Integrated,13.3,FHD,1.5,Windows 10,Ultrabook,7.7,No,79000
Avita,Ryzen 9 5900HX,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.9,Linux,Ultrabook,6.3,No,56000
Microsoft,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.3,Linux,Netbook,8.1,No,26910
Avita,i7-11800H,4GB,256GB SSD,MX550 2GB,14.0,FHD,1.8,Linux,Ultrabook,7.8,No,47000
Realme,i5-1135G7,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 11,Notebook,9.8,No,60000
HP,i3-1215U,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.7,macOS,Ultrabook,8.7,No,45000
HP,Ryzen 9 5900HS,32GB,1TB SSD,GTX 1650 4GB,16.0,QHD,2.2,Windows 10,Gaming Series,4.1,Yes,134000
Microsoft,i9-12900H,16GB,2TB SSD,MX550 2GB,15.6,FHD,2.0,Windows 11,Business Series,9.4,No,146000
Microsoft,i3-1115G4,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.8,Windows 10,Notebook,6.1,No,91000
HP,Ryzen 7 5800H,16GB,2TB SSD,RTX 3060 6GB,17.3,4K,2.8,Windows 10,Gaming Series,4.1,No,128000
ASUS,Ryzen 7 5800H,8GB,2TB SSD,GTX 1650 4GB,15.6,QHD,1.7,macOS,Business Series,7.5,No,101000
Microsoft,Ryzen 7 5800H,32GB,1TB SSD,RTX 4050 6GB,15.6,FHD,2.6,macOS,Gaming Series,3.7,No,173000
ASUS,i3-1115G4,8GB,512GB SSD,Integrated,15.6,4K,1.9,Linux,Notebook,9.0,No,64000
ASUS,Ryzen 9 5900HS,8GB,1TB SSD,Integrated,14.0,QHD,1.6,Windows 10,Ultrabook,6.4,No,82000
Samsung,i5-12500H,16GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.7,Linux,Ultrabook,9.9,No,80000
HP,i7-1255U,8GB,512GB SSD,Integrated,14.0,QHD,1.6,Linux,Ultrabook,6.2,Yes,74000
ASUS,i3-1115G4,8GB,256GB HDD,MX550 2GB,11.6,HD,1.1,DOS,Netbook,6.7,No,33000
Dell,Ryzen 7 5800H,8GB,1TB SSD,GTX 1650 4GB,15.6,FHD,1.9,Windows 10,Business Series,8.6,No,74000
Dell,i3-1115G4,8GB,256GB SSD,Integrated,15.6,HD,1.5,Windows 10,Notebook,6.0,No,45000
Apple,Apple M2 Pro,16GB,2TB SSD,Integrated,15.6,Retina,2.1,macOS,Business Series,13.5,No,156000
Samsung,Ryzen 7 5800H,32GB,2TB SSD,GTX 1650 4GB,16.0,FHD,2.4,Windows 10,Gaming Series,4.8,No,152000
Infinix,i7-1255U,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.2,Linux,Notebook,5.8,No,54000
Apple,Apple M1 Pro,64GB,1TB SSD,Integrated,17.3,Retina,2.3,macOS,Gaming Series,13.2,No,226000
Avita,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,15.6,HD,1.5,Linux,Business Series,5.4,No,69000
Acer,Ryzen 7 5700U,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 10,Business Series,7.8,No,81000
Avita,Ryzen 5 5500U,8GB,256GB SSD,GTX 1650 4GB,14.0,FHD,1.5,Linux,Ultrabook,7.5,No,44000
Avita,i7-1255U,4GB,512GB SSD,MX550 2GB,14.0,FHD,1.7,macOS,Notebook,9.7,No,52000
MSI,i5-1235U,8GB,512GB SSD,Integrated,15.6,FHD,1.8,Windows 11,Notebook,8.5,No,83000
ASUS,i9-12900H,16GB,512GB SSD,RTX 4050 6GB,15.6,QHD,2.3,Windows 11,Gaming Series,5.7,No,140000
Apple,Apple M1,8GB,512GB SSD,Integrated,14.0,Retina,1.8,macOS,Business Series,12.4,No,111000
HP,Ryzen 7 5800H,32GB,512GB SSD,RTX 3060 6GB,17.3,FHD,2.3,Windows 11,Gaming Series,4.4,No,135000
